,Compound,Mass
125,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8918.835987
126,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8896.874987000001
127,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K,8769.501626
128,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + OH,8747.540626
129,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + C₁₀H₁₄,8864.647453
130,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + P₁N₃C₆H₁₂,8887.614786
131,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + K + OH,8763.514626
132,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + K + C₁₀H₁₄,8880.621453
133,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + K + P₁N₃C₆H₁₂,8903.588786
134,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + OH + C₁₀H₁₄,8858.660453
135,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + OH + P₁N₃C₆H₁₂,8881.627786000001
136,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + C₁₀H₁₄ + P₁N₃C₆H₁₂,8998.734613
137,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K + OH,8684.6
138,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K + C₁₀H₁₄,8801.706827
139,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K + P₁N₃C₆H₁₂,8824.67416
140,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + OH + C₁₀H₁₄,8779.745827
141,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + OH + P₁N₃C₆H₁₂,8802.713160000001
142,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,8919.819987
143,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K + OH + C₁₀H₁₄,8795.719827
144,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K + OH + P₁N₃C₆H₁₂,8818.687160000001
145,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8935.793987000001
146,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8913.832987000002
147,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K + OH,8751.535625999999
148,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K + C₁₀H₁₄,8868.642452999999
149,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K + P₁N₃C₆H₁₂,8891.609785999999
150,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + OH + C₁₀H₁₄,8846.681453
151,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + OH + P₁N₃C₆H₁₂,8869.648786
152,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,8986.755613
153,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + K + OH + C₁₀H₁₄,8862.655453
154,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + K + OH + P₁N₃C₆H₁₂,8885.622786
155,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9002.729613
156,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8980.768613
157,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + K + OH + C₁₀H₁₄,8783.740827
158,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + K + OH + P₁N₃C₆H₁₂,8806.70816
159,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8923.814987
160,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8901.853987
161,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8917.827987
